"","lon","lat","lts1","ltr1","lts2","ltr2","lts3","ltr3"
"1",87.6750030517578,20.375,28.1916874779595,23.3982372283936,27.6165998246935,23.1995608011882,27.9803121354845,28.2331511179606
"2",87.7250061035156,20.375,28.2206365797255,23.6990210215251,27.5865463680691,23.4799626668294,27.9875742594401,28.20587793986
"3",87.7750015258789,20.375,28.2310098012288,23.8413887023926,27.5669066111247,23.6141401926676,27.9865606096056,28.1871115366618
"4",87.8250045776367,20.375,28.2226382361518,23.8238824208577,27.5577725304498,23.6007480621338,27.9771908654107,28.1769250233968
"5",87.875,20.375,28.2142675187853,23.8063780466716,27.5486407809787,23.5873584747314,27.9678243001302,28.1667423248291
"6",87.9250030517578,20.375,28.2058965894911,23.7888711293538,27.5395075480143,23.5739676157633,27.9584560394287,28.1565570831299
"7",87.9750061035156,20.375,28.1975246005588,23.7713635762533,27.5303741031223,23.5605742136637,27.949087354872,28.1463712056478
"8",88.0250015258789,20.375,28.1891536712646,23.7538592020671,27.5212423536513,23.5471846262614,27.9397205776638,28.1361897786458
"9",88.0750045776367,20.375,28.1807823181152,23.7363529205322,27.512108484904,23.5337931315104,27.9303518931071,28.1260032653809
"10",88.125,20.375,28.1724116007487,23.718848546346,27.5029782189263,23.5204029083252,27.9209849039714,28.1158199310303
"11",88.1750030517578,20.375,28.1640402475993,23.7013403574626,27.4938441382514,23.5070101420085,27.9116170671251,28.1056353251139
"12",88.2250061035156,20.375,28.155668258667,23.6838340759277,27.4847111172146,23.4936186472575,27.9022479587131,28.0954494476318
"13",88.2750015258789,20.375,28.1472973293728,23.6663297017415,27.4755787319607,23.480229695638,27.892881181505,28.0852661132812
"14",88.3250045776367,20.375,28.1410783131917,23.6532936096191,27.4686645931668,23.4706637064616,27.885894563463,28.0776271820068
"15",88.375,20.375,28.1413955688477,23.6538352966309,27.4684918721517,23.4727217356364,27.8861444261339,28.0777219136556
"16",88.4250030517578,20.375,28.1417132483588,23.6543782552083,27.4683185153537,23.4747791290283,27.8863942888048,28.0778166453044
"17",88.4750061035156,20.375,28.1420311397976,23.6549218495687,27.4681457943386,23.4768358866374,27.8866435156928,28.0779113769531
"18",88.5250015258789,20.375,28.1423481835259,23.6554648081462,27.4679726494683,23.4788945515951,27.8868933783637,28.0780067443848
"19",88.5750045776367,20.375,28.1426652272542,23.6560064951579,27.4677997165256,23.4809532165527,27.887143029107,28.0781014760335
"20",88.625,20.375,28.1429826948378,23.6565500895182,27.4676274193658,23.4830099741618,27.8873926798503,28.0781962076823
"21",88.6750030517578,20.375,28.1433005862766,23.6570917765299,27.4674546983507,23.4850686391195,27.8876423305935,28.0782909393311
"22",88.7250061035156,20.375,28.1436178419325,23.6576353708903,27.4672811296251,23.4871260325114,27.8878928290473,28.0783863067627
"23",88.7750015258789,20.375,28.1439353095161,23.6581789652507,27.4671079847548,23.4891834259033,27.8881424797906,28.0784810384115
"24",88.8250045776367,20.375,28.144252565172,23.6587200164795,27.4669350518121,23.491242090861,27.8883910708957,28.0785757700602
"25",88.875,20.375,28.1445704566108,23.6592636108398,27.4667625427246,23.4933001200358,27.8886409335666,28.078670501709
"26",88.9250030517578,20.375,28.1389997270372,23.6523100535075,27.462334950765,23.4867045084635,27.883240169949,28.0711161295573
"27",88.9750061035156,20.375,28.1334145863851,23.6453386942546,27.4578980339898,23.4800891876221,27.8778258429633,28.0635426839193
"28",89.0250015258789,20.375,28.1278300815158,23.6383692423503,27.4534602695041,23.4734738667806,27.8724121517605,28.0559692382812
"29",89.0750045776367,20.375,28.1222464243571,23.6313972473145,27.4490227169461,23.4668566385905,27.8669976128472,28.048397064209
"30",89.125,20.375,28.1166617075602,23.6244265238444,27.4445860120985,23.4602419535319,27.8615830739339,28.040823618571
"31",89.1750030517578,20.375,28.1110769907633,23.6174558003743,27.4401478237576,23.4536266326904,27.8561685350206,28.0332508087158
"32",89.2250061035156,20.375,28.1054916381836,23.6104844411214,27.4357113308377,23.4470106760661,27.8507533603244,28.025676091512
"33",89.2750015258789,20.375,28.0999075571696,23.6035137176514,27.4312731424967,23.4403953552246,27.8453396691216,28.0181045532227
"34",89.3250045776367,20.375,28.0943222045898,23.5965410868327,27.4268358018663,23.4337793986003,27.839925342136,28.0105311075846
