"","lon","lat","hst1","hrt1","sdst1","sdrt1","hst2","hrt2","sdst2","sdrt2","hst3","hrt3","sdst3","sdrt3"
"3028",87.8250045776367,21.7749996185303,27.9597060521444,22.5995710690816,1.0619530586921,1.45192245973753,27.9461182382372,22.5216639836629,1.06260405932201,1.45797429381748,27.9731659253438,22.6558807690938,1.07653728774951,1.50098546076166
"3029",87.875,21.7749996185303,27.9388339996338,22.6012010574341,1.04907956100305,1.44158973333381,27.9251491546631,22.5230518976847,1.04999624514739,1.44771089545333,27.9526301489936,22.6567170461019,1.06359642384511,1.4905650550379
"3030",87.9250030517578,21.7749996185303,27.9189515537686,22.6036304473877,1.03654447230544,1.431630508485,27.9051696459452,22.525238831838,1.03773530985456,1.43782673292266,27.9330839369032,22.6583525339762,1.05099626218607,1.48053023535966
"3031",87.9750061035156,21.7749996185303,27.9005343755086,22.5866471926371,1.03032041405372,1.40834839558108,27.8898854573568,22.5000301996867,1.03282003559629,1.40122888232075,27.925314701928,22.6228923797607,1.04975711555179,1.446312307592
"3032",88.0250015258789,21.7749996185303,27.8795740657383,22.5861441930135,1.01925871627714,1.39733151192918,27.8690432548523,22.498756313324,1.02219252506282,1.38946531946572,27.9053784476386,22.620418771108,1.03912522689555,1.43457849237521
"3033",88.0750045776367,21.7749996185303,27.8570467948914,22.5871198018392,1.00741734832103,1.3864931551865,27.8466847101847,22.4988284746806,1.01082602358038,1.37769513956256,27.8840325037638,22.6191595077515,1.02780169862573,1.42287995712704
"3034",88.125,21.7749996185303,27.8318781746758,22.5930026372274,0.994023417936354,1.37349416141611,27.8229350937737,22.5031409263611,0.998329836090036,1.36252305113598,27.8629309124417,22.6205519358317,1.01610430522453,1.40878184153087
"3035",88.1750030517578,21.7749996185303,27.8084831131829,22.6056714693705,0.980285095420544,1.36033217285459,27.8018234570821,22.5138793627421,0.985790527158028,1.34657178477539,27.8455523384942,22.6273605028788,1.00483447792159,1.39456151305932
"3036",88.2250061035156,21.7749996185303,27.7824559529622,22.6158635457357,0.966787064391508,1.3477085568243,27.7776404274835,22.522385152181,0.973362045469903,1.33169283861865,27.8245176209344,22.6325209299723,0.99337874747479,1.38105622694687
"3037",88.2750015258789,21.7749996185303,27.7636176851061,22.621509774526,0.957472665419713,1.33559223925913,27.7596101125081,22.5267849286397,0.964831057384507,1.31818793854467,27.8083432197571,22.6347871462504,0.985303979082607,1.36814008021174
"3038",88.3250045776367,21.7749996185303,27.7413771841261,22.6278189659119,0.946678350694144,1.3276692932059,27.7383698357476,22.5318128267924,0.95473783618103,1.30873290964458,27.7891664187113,22.6375249544779,0.975711570480578,1.35935625974683
"3039",88.375,21.7749996185303,27.7326407962375,22.6279811541239,0.943300399066986,1.32581965609071,27.7311998155382,22.5311877250671,0.951767775232016,1.30512951225505,27.7845617612203,22.6346696853638,0.973488866511706,1.35674315946489
"3040",88.4250030517578,21.7749996185303,27.7271555052863,22.6307208697001,0.943845982117065,1.31925165966523,27.7312727504306,22.5359752019246,0.953537878200908,1.2951837399142,27.7912319925096,22.6378144900004,0.977399117618612,1.3496676050288
"3041",88.4750061035156,21.7749996185303,27.7264955308702,22.6238729476929,0.947358252181484,1.3156071234904,27.7327819824219,22.5294135729472,0.957576582459299,1.2900508721622,27.795730219947,22.6296600023905,0.982265035777657,1.34575718579761
"3042",88.5250015258789,21.7749996185303,27.7243621084425,22.6085591952006,0.955475374352738,1.31178388408269,27.7311332702637,22.5116597175598,0.9661601901803,1.283441539156,27.7960167566935,22.6082102775574,0.991504600400379,1.33964780709587
"3043",88.5750045776367,21.7749996185303,27.7282246483697,22.5932481447856,0.966491696145329,1.30755163576432,27.7361622598436,22.4947539329529,0.977820070959589,1.27675158176371,27.8035195880466,22.5880861282349,1.00398237888904,1.33373331477088
"3044",88.625,21.7749996185303,27.7510489251879,22.5488215764364,0.993697872550701,1.296621303242,27.7611947377523,22.4503052711487,1.00630025056077,1.2640728559644,27.8318415959676,22.5411311467489,1.03379294112869,1.32236611990192
"3045",88.6750030517578,21.7749996185303,27.7643477016025,22.5250772158305,1.01167157212092,1.28934514824868,27.7774279594421,22.427392133077,1.02541973282526,1.25534935812324,27.8518706215752,22.5164638837179,1.05408056313521,1.31521573492311
