"","lon","lat","s1","r1","a1","w1","s2","r2","a2","w2","s3","r3","a3","w3","sd1","sd2","sd3"
"1499",92.375,21.0249996185303,74.9299659729004,109.73756980896,54.5624694824219,66.070499420166,77.4076881408691,114.361488342285,55.6093120574951,67.2393417358398,76.1095848083496,113.810312271118,56.6318092346191,68.3837738037109,2.62332372318997,3.18874120102173,3.1443084932388
"1500",92.4250030517578,21.0249996185303,75.0384464263916,109.513584136963,54.42360496521,65.9441566467285,77.5700531005859,114.07794380188,55.4334030151367,67.0562763214111,76.1871814727783,113.578517913818,56.4745712280273,68.1529235839844,2.62029478878229,3.18993943488313,3.14348187658279
"1501",92.4749984741211,21.0249996185303,75.2580299377441,109.324699401855,54.2888603210449,65.8503322601318,77.8452072143555,113.804792404175,55.2670879364014,66.9259777069092,76.3214416503906,113.344879150391,56.2896385192871,67.9228286743164,2.6181078260102,3.18974544807058,3.13784958242588
"1502",92.5250015258789,21.0249996185303,75.2839508056641,108.979347229004,54.0928707122803,65.6891098022461,77.9260559082031,113.376758575439,55.0381278991699,66.7280235290527,76.2695789337158,112.96005821228,56.0463562011719,67.6292724609375,2.61041897555899,3.18246467402417,3.12831642129349
"1503",92.5750045776367,21.0249996185303,75.0943908691406,108.543098449707,53.883674621582,65.4296283721924,77.794734954834,112.863998413086,54.7967834472656,66.4288940429688,76.006763458252,112.49334526062,55.7934589385986,67.2403125762939,2.6070320324548,3.17644760996677,3.12323142075378
"1504",92.625,21.0249996185303,75.2001724243164,108.225778579712,53.6938953399658,65.2683773040771,77.9563903808594,112.469766616821,54.5737590789795,66.2285232543945,76.0436954498291,112.142766952515,55.5610942840576,66.9505271911621,2.60343699984707,3.17623860670787,3.11747100898209
"1505",92.6750030517578,21.0249996185303,75.0526504516602,107.694160461426,53.4206562042236,65.0008354187012,77.8643703460693,111.863971710205,54.2703037261963,65.9231567382812,75.8210144042969,111.571119308472,55.2436065673828,66.5522232055664,2.59169323305828,3.16512938172337,3.10327323597452
"1506",92.7249984741211,21.0249996185303,74.9211959838867,107.18358039856,53.1717147827148,64.8903789520264,77.7830543518066,111.282314300537,53.9922256469727,65.7787971496582,75.620397567749,111.018413543701,54.9527378082275,66.3124179840088,2.55977212138977,3.13424441919855,3.07235513341303
"1507",92.7750015258789,21.0249996185303,74.7868728637695,106.655323028564,52.8965702056885,64.6411819458008,77.7032375335693,110.6872215271,53.6900329589844,65.4919891357422,75.4119968414307,110.447338104248,54.6355152130127,65.933500289917,2.54680474159521,3.12383884588846,3.05734360245532
"1508",92.8250045776367,21.0249996185303,74.6015071868896,106.4245262146,52.7663917541504,64.3736209869385,77.4936904907227,110.327625274658,53.5254726409912,65.1780815124512,75.161491394043,110.101057052612,54.4396781921387,65.5446262359619,2.56499139735325,3.12673403956934,3.06220778488501
"1509",92.875,21.0249996185303,75.4237461090088,108.019243240356,53.4223937988281,64.5410900115967,78.0530548095703,111.597734451294,54.1211318969727,65.2728385925293,75.9461536407471,111.363243103027,54.9566345214844,65.6157741546631,2.71431803151338,3.22294225530348,3.16451561140767
"1510",92.9250030517578,21.0249996185303,75.4912090301514,109.011472702026,53.8555908203125,64.4002571105957,77.8580989837646,112.271604537964,54.4955615997314,65.0581912994385,75.9785537719727,112.025796890259,55.2534732818604,65.3810558319092,2.83949979301973,3.28811153147005,3.24410950830999
"1511",92.9749984741211,21.0249996185303,75.6108875274658,110.062091827393,54.3155822753906,64.2880935668945,77.7156715393066,113.019649505615,54.8936748504639,64.8619213104248,76.0955905914307,112.77169418335,55.5951042175293,65.1930446624756,2.96888912397988,3.3639484252204,3.33210188737982
"1512",93.0250015258789,21.0249996185303,75.6015148162842,111.021883010864,54.7457637786865,64.129358291626,77.4449577331543,113.684425354004,55.2612209320068,64.6151790618896,76.0960807800293,113.437973022461,55.9138164520264,64.9653739929199,3.09674221973576,3.44145692309676,3.4208572010467
"1513",87.6750030517578,21.0750007629395,79.0492210388184,113.933916091919,56.230052947998,71.2137241363525,78.2902278900146,115.464595794678,56.7216644287109,71.9337539672852,78.9723834991455,114.330142974854,56.6223297119141,73.1845989227295,2.32908797524811,2.49621535603707,2.13563419143503
"1514",87.7250061035156,21.0750007629395,79.316291809082,113.746932983398,56.1912021636963,71.9770069122314,78.4794330596924,115.434650421143,56.7332534790039,72.7709121704102,79.231575012207,114.183805465698,56.6237258911133,74.1500873565674,2.19455126953351,2.37886943886434,1.98131323183118
"1515",87.7750015258789,21.0750007629395,79.4466915130615,113.632173538208,56.1623687744141,72.3438034057617,78.5844230651855,115.401489257812,56.7272796630859,73.1839351654053,79.3579387664795,114.096387863159,56.6147308349609,74.6304397583008,2.12778777838471,2.32080727111081,1.90495667274799
"1516",87.8250045776367,21.0750007629395,79.4391498565674,113.590299606323,56.1436443328857,72.3104476928711,78.6044273376465,115.365072250366,56.7035713195801,73.1689147949219,79.3502521514893,114.068420410156,56.5952529907227,74.6211948394775,2.12771251744569,2.32103115802872,1.90536755306511
"1517",87.875,21.0750007629395,79.4316082000732,113.548419952393,56.1249237060547,72.2770977020264,78.6244316101074,115.328666687012,56.6798706054688,73.1538963317871,79.3425617218018,114.040456771851,56.5757732391357,74.6119499206543,2.12764397451611,2.32130782704307,1.90580344356171
"1518",87.9250030517578,21.0750007629395,79.4240665435791,113.506540298462,56.1061973571777,72.243745803833,78.644437789917,115.292245864868,56.6561641693115,73.1388721466064,79.3348731994629,114.012493133545,56.5562896728516,74.6027011871338,2.12758300983655,2.32163505288537,1.90626589823055
"1519",87.9750061035156,21.0750007629395,79.4165267944336,113.464664459229,56.087474822998,72.2103958129883,78.6644420623779,115.255834579468,56.6324596405029,73.123851776123,79.3271827697754,113.984521865845,56.536808013916,74.5934543609619,2.12752944799409,2.32201437298885,1.90675270307103
"1520",88.0250015258789,21.0750007629395,79.4089832305908,113.422792434692,56.0687503814697,72.1770458221436,78.6844482421875,115.219425201416,56.608757019043,73.1088352203369,79.3194961547852,113.95655632019,56.517333984375,74.5842113494873,2.12748365361502,2.32244472519703,1.9072651932411
"1521",88.0750045776367,21.0750007629395,79.4014434814453,113.380916595459,56.0500259399414,72.1436901092529,78.7044506072998,115.18300819397,56.5850505828857,73.0938129425049,79.3118095397949,113.928592681885,56.4978504180908,74.5749607086182,2.12744540363891,2.32292686220699,1.90780376941963
"1522",88.125,21.0750007629395,79.3939018249512,113.339038848877,56.0313034057617,72.1103458404541,78.7244548797607,115.146602630615,56.5613479614258,73.0787906646729,79.3041191101074,113.900630950928,56.4783725738525,74.5657176971436,2.12741312813623,2.32346109761022,1.90836650679427
"1523",88.1750030517578,21.0750007629395,79.3863620758057,113.297161102295,56.0125789642334,72.0769882202148,78.7444591522217,115.110185623169,56.5376396179199,73.0637722015381,79.2964324951172,113.872663497925,56.4588928222656,74.556468963623,2.12738979000948,2.32404575174179,1.90895586759647
"1524",88.2250061035156,21.0750007629395,79.3788185119629,113.255281448364,55.9938526153564,72.0436382293701,78.7644634246826,115.073770523071,56.51393699646,73.0487537384033,79.2887401580811,113.844696044922,56.4394073486328,74.5472259521484,2.12737298229502,2.3246818261422,1.90956921292087
"1525",88.2750015258789,21.0750007629395,79.3712768554688,113.213409423828,55.9751319885254,72.0102882385254,78.7844657897949,115.03736114502,56.4902324676514,73.0337333679199,79.2810516357422,113.816732406616,56.4199333190918,74.5379772186279,2.12736412307904,2.32536964864321,1.9102088945234
"1526",88.3250045776367,21.0750007629395,79.3635749816895,113.176584243774,55.9602489471436,71.98388671875,78.7981777191162,115.004516601562,56.4715900421143,73.0254325866699,79.2723331451416,113.790447235107,56.403995513916,74.5348072052002,2.12704614630991,2.32531509822445,1.91041380055986
"1527",88.375,21.0750007629395,79.3553676605225,113.155118942261,55.9570369720459,71.9786033630371,78.7927627563477,114.982513427734,56.4683303833008,73.0375518798828,79.2604694366455,113.769277572632,56.3988189697266,74.550106048584,2.12577290176708,2.32287142739936,1.90925627409518
"1528",88.4250030517578,21.0750007629395,79.3471641540527,113.133646011353,55.9538230895996,71.9733200073242,78.7873420715332,114.960506439209,56.4650688171387,73.0496788024902,79.2486019134521,113.748100280762,56.3936443328857,74.5654048919678,2.12450236978157,2.32043194053115,1.90813311147943
"1529",88.4750061035156,21.0750007629395,79.3389625549316,113.112176895142,55.9506092071533,71.9680347442627,78.781925201416,114.938503265381,56.4618072509766,73.0618019104004,79.2367401123047,113.726922988892,56.3884658813477,74.5807018280029,2.12323581861672,2.31799839805966,1.90704532108517
"1530",88.5250015258789,21.0750007629395,79.3307571411133,113.090707778931,55.9473972320557,71.9627532958984,78.7765064239502,114.91650390625,56.4585456848145,73.0739212036133,79.2248725891113,113.705749511719,56.3832912445068,74.596004486084,2.12197292445379,2.31557056954509,1.9059922117915
"1531",88.5750045776367,21.0750007629395,79.3225536346436,113.06923866272,55.9441871643066,71.9574699401855,78.7710933685303,114.894500732422,56.4552841186523,73.0860443115234,79.2130031585693,113.684572219849,56.3781147003174,74.6113033294678,2.12071330714415,2.3131475919381,1.90497497970187
"1532",88.625,21.0750007629395,79.3143539428711,113.047771453857,55.940975189209,71.9521884918213,78.7656726837158,114.872497558594,56.4520225524902,73.098165512085,79.2011394500732,113.66340637207,56.3729438781738,74.6265983581543,2.11945720754823,2.31072992519936,1.90399375267777
"1533",88.6750030517578,21.0750007629395,79.3061466217041,113.026300430298,55.9377632141113,71.9469051361084,78.7602615356445,114.850496292114,56.4487648010254,73.1102848052979,79.1892757415771,113.642225265503,56.3677635192871,74.641902923584,2.11820438912168,2.30831837555505,1.9030457921399
"1534",88.7250061035156,21.0750007629395,79.2979412078857,113.004831314087,55.9345512390137,71.9416217803955,78.7548408508301,114.82848739624,56.445499420166,73.1224098205566,79.1774082183838,113.621049880981,56.3625907897949,74.6571998596191,2.11695512067125,2.30591050277411,1.90213498418205
