"","lon","lat","tlts1","tltr1","tlts2","tltr2","tlts3","tltr3"
"1",87.6750030517578,20.375,27.8381896548801,24.213508605957,27.7606213887533,23.0151240030924,28.0265115102132,28.0848286946615
"2",87.7250061035156,20.375,27.8308709462484,24.5979353586833,27.7453454335531,23.2766024271647,28.0385138193766,28.0423393249512
"3",87.7750015258789,20.375,27.8233261108398,24.7851257324219,27.7333041297065,23.4016908009847,28.0406542883979,28.0151850382487
"4",87.8250045776367,20.375,27.8155521816678,24.7732620239258,27.7245269351535,23.3891372680664,28.0328430599636,28.0035076141357
"5",87.875,20.375,27.8077807956272,24.7614002227783,27.7157514360216,23.3765837351481,28.0250322553847,27.9918320973714
"6",87.9250030517578,20.375,27.8000072903103,24.7495365142822,27.7069744533963,23.3640289306641,28.0172203911675,27.9801534016927
"7",87.9750061035156,20.375,27.7922337849935,24.737673441569,27.6981978946262,23.3514722188314,28.0094091627333,27.9684766133626
"8",88.0250015258789,20.375,27.7844623989529,24.7258116404216,27.6894228193495,23.338919321696,28.0015981462267,27.9567998250326
"9",88.0750045776367,20.375,27.7766886817084,24.7139472961426,27.6806464725071,23.326363881429,27.9937858581543,27.9451211293538
"10",88.125,20.375,27.7689168718126,24.7020867665609,27.6718705495199,23.3138109842936,27.9859756893582,27.9334456125895
"11",88.1750030517578,20.375,27.7611433664958,24.6902230580648,27.663094414605,23.3012555440267,27.9781644609239,27.9217675526937
"12",88.2250061035156,20.375,27.7533698611789,24.6783593495687,27.654317855835,23.2887001037598,27.9703523847792,27.910088857015
"13",88.2750015258789,20.375,27.7455976274278,24.666498819987,27.6455421447754,23.2761472066243,27.9625422159831,27.8984139760335
"14",88.3250045776367,20.375,27.7401379479302,24.6576137542725,27.6387865278456,23.2674032847087,27.9566004011366,27.8893896738688
"15",88.375,20.375,27.7417049407959,24.6577809651693,27.6381710900201,23.270237604777,27.9563416375054,27.888427734375
"16",88.4250030517578,20.375,27.7432732052273,24.6579481760661,27.6375558641222,23.273073832194,27.9560832977295,27.8874664306641
"17",88.4750061035156,20.375,27.7448399861654,24.65811475118,27.6369395785862,23.2759094238281,27.9558245340983,27.8865044911702
"18",88.5250015258789,20.375,27.7464080386692,24.6582813262939,27.636323928833,23.2787437438965,27.9555657704671,27.8855431874593
"19",88.5750045776367,20.375,27.7479756673177,24.6584485371908,27.6357082790799,23.2815806070964,27.9553065829807,27.8845812479655
"20",88.625,20.375,27.7495435078939,24.6586163838704,27.635093053182,23.2844155629476,27.95504866706,27.8836199442546
"21",88.6750030517578,20.375,27.7511102888319,24.6587823232015,27.6344776153564,23.2872505187988,27.9547909630669,27.8826605478923
"22",88.7250061035156,20.375,27.7526783413357,24.6589501698812,27.6338619656033,23.2900861104329,27.9545321994358,27.8816986083984
